slide_id,acinar,lepidic,micropapillary,papillary,solid,in situ,cribriform
WSI-1,0,0,0,0,0,1,0
WSI-2,0,0,0,0,0,1,0
WSI-3,0,0,0,0,0,1,0
WSI-4,0,0,0,0,0,1,0
WSI-5,0,0,0,0,0,1,0
WSI-6,0,0,0,0,0,1,0
WSI-7,0,0,0,0,0,1,0
WSI-9,0,0,0,0,0,1,0
WSI-10,0,0,0,0,0,1,0
WSI-12,0,0,0,0,0,1,0
WSI-13,0,0,0,0,0,1,0
WSI-14,0,0,0,0,0,1,0
WSI-15,0,0,0,0,0,1,0
WSI-16,0,0,0,0,0,0,1
WSI-18,0,0,0,0,0,0,1
WSI-20,0,0,0,0,0,1,0
WSI-23,0,0,0,0,0,1,0
WSI-25,0,0,0,0,0,1,0
WSI-27,0,0,0,0,0,1,0
WSI-29,0,0,0,0,0,1,0
WSI-30,0,0,0,0,0,1,0
WSI-31,1,0,0,0,0,0,0
WSI-32,1,0,0,0,0,0,0
WSI-33,0,0,0,0,0,1,0
WSI-34,0,0,0,0,0,1,0
WSI-36,0,0,0,1,0,0,0
WSI-37,0,0,0,0,0,1,0
WSI-38,0,0,0,0,0,1,0
WSI-39,0,0,0,0,0,1,0
WSI-40,0,0,0,0,0,1,0
WSI-45,0,0,0,0,0,1,0
WSI-48,0,0,0,0,1,0,0
WSI-49,0,0,0,0,1,0,0
WSI-50,0,0,0,0,1,0,0
WSI-51,0,0,0,0,0,1,0
WSI-52,0,0,0,0,0,1,0
WSI-53,0,0,0,0,0,1,0
WSI-54,0,0,0,0,0,1,0
WSI-56,0,0,0,0,0,1,0
WSI-57,0,0,0,0,0,1,0
WSI-58,0,0,0,0,0,1,0
WSI-59,0,0,0,0,0,0,1
WSI-60,0,0,0,0,0,0,1
WSI-62,0,0,0,0,0,1,0
WSI-64,0,0,0,0,0,1,0
WSI-65,0,0,0,0,0,1,0
WSI-66,0,0,1,0,0,0,0
WSI-67,0,0,0,0,0,1,0
WSI-68,0,0,0,0,0,1,0
WSI-71,0,0,0,0,0,1,0
WSI-72,0,0,0,0,0,1,0
WSI-73,0,0,0,0,0,1,0
WSI-74,0,0,0,0,0,1,0
WSI-75,0,0,0,0,0,1,0
WSI-78,0,0,0,1,0,0,0
WSI-79,0,0,0,1,0,0,0
WSI-80,0,0,1,0,0,0,0
WSI-82,0,0,1,0,0,0,0
WSI-83,0,0,1,0,0,0,0
WSI-85,0,0,1,0,0,0,0
WSI-87,0,0,0,0,1,0,0
WSI-88,0,0,0,0,1,0,0
WSI-89,0,0,1,0,0,0,0
WSI-90,0,0,1,0,0,0,0
WSI-91,0,0,0,1,0,0,0
WSI-93,0,0,0,1,0,0,0
WSI-94,0,0,0,1,0,0,0
WSI-96,0,0,0,0,1,0,0
WSI-97,0,0,0,1,0,0,0
WSI-98,0,0,0,1,0,0,0
WSI-100,0,0,0,0,1,0,0
WSI-101,0,0,0,0,1,0,0
WSI-102,0,0,0,0,1,0,0
WSI-104,0,0,0,1,0,0,0
WSI-105,0,0,0,0,0,0,1
WSI-106,0,0,0,0,0,0,1
WSI-107,0,0,0,0,1,0,0
WSI-108,0,0,0,0,1,0,0
WSI-109,0,0,0,1,0,0,0
WSI-110,0,0,0,1,0,0,0
WSI-111,0,0,0,1,0,0,0
WSI-112,0,0,0,1,0,0,0
WSI-113,0,0,0,1,0,0,0
WSI-114,0,0,1,0,0,0,0
WSI-115,0,0,1,0,0,0,0
WSI-116,0,0,0,0,0,0,1
WSI-117,0,0,0,0,0,0,1
WSI-118,0,0,0,1,0,0,0
WSI-120,0,0,0,1,0,0,0
WSI-121,0,0,0,1,0,0,0
WSI-122,0,0,0,0,1,0,0
WSI-123,0,0,0,0,1,0,0
WSI-126,0,0,0,0,1,0,0
WSI-127,0,0,0,1,0,0,0
WSI-129,0,0,0,1,0,0,0
WSI-130,0,0,0,0,1,0,0
WSI-132,0,0,0,0,1,0,0
WSI-133,0,0,0,0,1,0,0
WSI-135,0,0,0,0,1,0,0
WSI-136,0,0,0,0,1,0,0
WSI-138,0,0,0,1,0,0,0
WSI-139,0,0,0,1,0,0,0
WSI-140,0,0,0,1,0,0,0
WSI-141,0,0,0,1,0,0,0
WSI-142,0,0,0,1,0,0,0
WSI-143,0,0,0,0,1,0,0
WSI-144,0,0,0,0,1,0,0
WSI-145,0,0,0,0,1,0,0
WSI-146,0,0,0,0,1,0,0
WSI-153,0,0,0,1,0,0,0
WSI-154,0,0,1,0,0,0,0
WSI-156,0,0,1,0,0,0,0
WSI-157,0,0,0,0,1,0,0
WSI-159,0,0,0,0,1,0,0
WSI-160,0,0,0,0,1,0,0
WSI-162,0,0,0,0,1,0,0
WSI-163,0,0,0,0,1,0,0
WSI-164,0,0,0,0,1,0,0
WSI-165,0,0,0,0,1,0,0
WSI-167,0,0,1,0,0,0,0
WSI-168,0,0,1,0,0,0,0
WSI-169,0,0,1,0,0,0,0
WSI-171,0,0,1,0,0,0,0
WSI-172,0,0,0,1,0,0,0
WSI-173,0,0,0,1,0,0,0
WSI-174,0,0,0,1,0,0,0
WSI-176,0,0,0,1,0,0,0
WSI-177,0,0,0,0,1,0,0
WSI-179,0,0,0,0,1,0,0
WSI-182,0,0,0,1,0,0,0
WSI-183,0,0,0,1,0,0,0
WSI-184,0,0,0,1,0,0,0
WSI-185,0,0,0,1,0,0,0
WSI-186,0,0,0,0,1,0,0
WSI-188,0,0,1,0,0,0,0
WSI-189,0,0,1,0,0,0,0
WSI-190,0,0,1,0,0,0,0
WSI-191,0,0,1,0,0,0,0
WSI-194,0,0,1,0,0,0,0
WSI-196,0,0,0,0,0,0,1
WSI-198,0,0,1,0,0,0,0
WSI-199,0,0,1,0,0,0,0
WSI-200,0,0,0,0,0,0,1
WSI-201,0,0,0,0,0,0,1
WSI-202,0,0,1,0,0,0,0
WSI-203,0,0,1,0,0,0,0
WSI-204,0,0,0,0,1,0,0
WSI-205,0,0,0,0,1,0,0
WSI-206,0,0,0,0,1,0,0
WSI-208,0,0,0,0,1,0,0
WSI-209,0,0,0,1,0,0,0
WSI-210,0,0,0,1,0,0,0
WSI-211,0,0,0,0,0,0,1
WSI-212,0,0,0,0,0,0,1
WSI-213,0,0,0,1,0,0,0
WSI-215,0,0,0,1,0,0,0
WSI-216,0,0,0,1,0,0,0
WSI-217,0,0,0,1,0,0,0
WSI-219,0,0,0,1,0,0,0
WSI-220,0,0,0,1,0,0,0
WSI-221,0,0,0,1,0,0,0
WSI-224,0,0,0,0,1,0,0
WSI-225,0,0,0,0,1,0,0
WSI-226,0,0,0,0,1,0,0
WSI-229,0,0,0,0,0,0,1
WSI-231,0,0,1,0,0,0,0
WSI-232,0,0,0,0,1,0,0
WSI-235,0,0,0,0,0,0,1
WSI-236,0,0,0,0,0,0,1
WSI-237,0,0,0,0,0,0,1
WSI-238,0,0,1,0,0,0,0
WSI-239,0,0,1,0,0,0,0
WSI-240,0,0,1,0,0,0,0
WSI-242,0,0,0,0,1,0,0
WSI-245,0,0,0,0,0,0,1
WSI-246,0,0,0,0,0,0,1
WSI-247,0,0,0,0,0,0,1
WSI-248,0,0,0,1,0,0,0
WSI-249,0,0,0,1,0,0,0
WSI-250,0,0,0,1,0,0,0
WSI-251,0,0,0,1,0,0,0
WSI-252,0,0,0,1,0,0,0
WSI-253,0,0,1,0,0,0,0
WSI-254,0,0,1,0,0,0,0
WSI-255,0,0,0,0,1,0,0
WSI-256,0,0,0,0,1,0,0
WSI-258,0,0,1,0,0,0,0
WSI-260,0,0,1,0,0,0,0
WSI-261,0,0,0,0,1,0,0
WSI-262,0,0,0,0,1,0,0
WSI-263,0,0,0,0,1,0,0
WSI-265,0,0,0,1,0,0,0
WSI-267,0,0,0,0,0,0,1
WSI-269,0,0,0,1,0,0,0
WSI-270,0,0,0,1,0,0,0
WSI-271,0,0,0,1,0,0,0
WSI-272,0,0,0,1,0,0,0
WSI-273,0,0,0,0,0,0,1
WSI-275,1,0,0,0,0,0,0
WSI-276,1,0,0,0,0,0,0
WSI-277,0,0,1,0,0,0,0
WSI-280,1,0,0,0,0,0,0
WSI-281,1,0,0,0,0,0,0
WSI-282,1,0,0,0,0,0,0
WSI-284,0,1,0,0,0,0,0
WSI-286,1,0,0,0,0,0,0
WSI-288,1,0,0,0,0,0,0
WSI-290,1,0,0,0,0,0,0
WSI-291,1,0,0,0,0,0,0
WSI-292,0,0,0,1,0,0,0
WSI-293,0,0,0,1,0,0,0
